Codcir,Codmun,Municipio,Censo Total,Votos Totales,Votos Nulos,Votos Blancos
18,128,Marchal,334,222,7,2
18,132,Moclín,3.142,2.127,59,20
18,133,Molvízar,2.118,1.423,25,17
18,134,Monachil,6.039,3.380,114,62
18,135,Montefrío,4.420,2.455,127,23
18,136,Montejícar,1.795,1.180,59,7
18,137,Montillana,945,593,16,4
18,138,Moraleda de Zafayona,2.472,1.279,37,11
18,909,Morelábor,535,371,5,1
18,140,Motril,43.981,23.830,542,332
18,141,Murtas,378,215,3,0
18,903,Nevada,867,501,12,3
18,143,Nigüelas,954,600,35,3
18,144,Nívar,793,499,24,6
18,145,Ogíjares,10.806,6.789,255,101
18,146,Orce,941,584,20,5
18,147,Órgiva,3.664,2.024,68,31
18,148,Otívar,804,558,8,8
18,150,Padul,6.816,4.154,169,70
18,151,Pampaneira,249,148,5,0
18,152,Pedro Martínez,911,619,10,2
18,153,Peligros,8.747,5.259,200,69
18,157,Pinos Genil,1.151,721,26,7
18,158,Pinos Puente,8.028,4.205,111,62
18,159,Píñar,990,683,14,4
18,161,Polícar,215,177,0,3
18,162,Polopos,929,606,7,6
18,163,Pórtugos,311,186,5,2
18,164,Puebla de Don Fadrique,1.814,1.009,23,9
18,165,Pulianas,4.199,2.435,91,43
18,167,Purullena,1.850,1.074,29,17
18,168,Quéntar,775,490,16,8
18,170,Rubite,320,182,2,2
18,171,Salar,2.096,1.420,52,14
18,173,Salobreña,8.932,5.052,164,79
18,174,Santa Cruz del Comercio,435,318,5,3
18,175,Santa Fe,11.729,7.261,272,97
18,176,Soportújar,234,146,0,2
18,177,Sorvilán,374,193,3,5
18,178,Torre-Cardela,677,447,7,5
18,179,Torvizcón,507,303,4,6
18,180,Trevélez,634,324,13,5
18,181,Turón,205,118,1,1
18,182,Ugíjar,1.917,1.120,18,6
18,914,Valderrubio,1.649,1.111,45,14
18,907,Valle del Zalabí,1.786,1.205,21,9
18,183,Válor,626,380,5,6
18,911,Vegas del Genil,7.821,4.629,210,83
18,184,Vélez de Benaudalla,2.156,1.378,38,17
18,185,Ventas de Huelma,523,365,4,5
18,149,Villa de Otura,5.380,3.526,131,40
18,908,Villamena,794,493,37,3
18,187,Villanueva de las Torres,512,329,4,1
18,188,Villanueva Mesía,1.650,1.101,36,16
18,189,Víznar,767,515,12,9
18,192,Zafarraya,1.456,1.012,15,4
18,913,Zagra,776,502,15,5
18,194,Zújar,2.061,1.127,22,21
18,990,Residentes Ausentes Granada,49.014,1.303,271,14
21,1,Alájar,609,389,10,6
21,2,Aljaraque,15.805,9.292,157,141
21,4,Almonaster la Real,1.590,844,34,24
21,5,Almonte,15.663,7.787,197,138
21,6,Alosno,3.334,1.946,65,26
21,7,Aracena,6.320,3.716,106,78
21,8,Aroche,2.623,1.396,36,24
21,9,Arroyomolinos de León,856,413,19,2
21,10,Ayamonte,14.957,7.264,114,170
21,11,Beas,3.444,2.117,34,38
21,12,Berrocal,288,206,10,1
21,13,Bollullos Par del Condado,10.595,5.928,172,80
21,14,Bonares,4.044,2.822,97,25
21,15,Cabezas Rubias,646,286,5,19
21,16,Cala,998,553,39,7
21,17,Calañas,3.473,1.920,50,23
21,19,Campofrío,590,356,22,6
21,20,Cañaveral de León,356,212,2,3
21,21,Cartaya,12.370,6.609,135,100
21,22,Castaño del Robledo,183,124,5,5
21,30,Chucena,1.845,1.411,42,8
21,24,Corteconcepción,460,273,11,7
21,25,Cortegana,3.919,2.172,56,27
21,26,Cortelazor,252,150,7,0
21,27,Cumbres de Enmedio,48,37,2,0
21,28,Cumbres de San Bartolomé,359,248,11,0
21,29,Cumbres Mayores,1.513,904,52,16
21,3,El Almendro,679,429,12,12
21,18,El Campillo,1.728,921,27,15
21,23,El Cerro de Andévalo,2.046,1.090,26,12
21,37,El Granado,459,306,6,4
21,31,Encinasola,1.165,652,36,5
21,32,Escacena del Campo,1.799,1.089,48,4
21,33,Fuenteheridos,536,341,6,3
21,34,Galaroza,1.176,682,27,2
21,35,Gibraleón,9.700,5.202,113,94
21,38,Higuera de la Sierra,1.073,581,23,9
21,39,Hinojales,301,187,6,2
21,40,Hinojos,3.162,1.930,85,29
21,41,Huelva,113.161,61.286,1.127,1.075
21,42,Isla Cristina,15.518,6.488,124,150
21,43,Jabugo,1.870,1.208,48,28
21,36,La Granada de Río-Tinto,203,122,5,0
21,51,La Nava,198,146,4,3
21,54,La Palma del Condado,8.157,5.389,129,44
21,44,Lepe,17.776,9.459,174,147
21,45,Linares de la Sierra,233,141,1,2
21,48,Los Marines,314,185,1,7
21,46,Lucena del Puerto,1.715,1.151,33,22
21,47,Manzanilla,1.875,939,46,7
21,49,Minas de Riotinto,3.291,1.718,74,20
21,50,Moguer,12.464,7.290,146,122
21,52,Nerva,4.427,2.233,84,29
21,53,Niebla,3.284,1.939,62,28
21,55,Palos de la Frontera,7.166,4.611,70,45
21,56,Paterna del Campo,2.920,1.817,127,25
21,57,Paymogo,992,501,10,9
21,58,Puebla de Guzmán,2.545,1.614,34,40
21,59,Puerto Moral,220,169,12,3
21,60,Punta Umbría,12.178,6.638,119,121
21,61,Rociana del Condado,5.059,2.821,70,46
21,62,Rosal de la Frontera,1.365,720,9,11
21,63,San Bartolomé de la Torre,2.615,1.747,58,29
21,64,San Juan del Puerto,6.605,3.849,105,83
21,66,San Silvestre de Guzmán,499,367,9,3
21,65,Sanlúcar de Guadiana,251,144,0,0
21,67,Santa Ana la Real,406,261,8,5
21,68,Santa Bárbara de Casa,950,495,11,8
21,69,Santa Olalla del Cala,1.668,929,23,17
21,70,Trigueros,6.240,3.444,92,85
21,71,Valdelarco,216,129,7,5
21,72,Valverde del Camino,10.192,6.747,215,134
21,73,Villablanca,1.889,889,29,12
21,74,Villalba del Alcor,2.670,1.625,37,18
21,75,Villanueva de las Cruces,339,226,11,0
21,76,Villanueva de los Castillejos,2.145,1.239,38,24
21,77,Villarrasa,1.708,1.103,34,14
21,78,Zalamea la Real,2.650,1.509,42,27
21,79,Zufre,700,398,9,8
21,990,Residentes Ausentes Huelva,7.339,215,22,2
23,1,Albanchez de Mágina,909,693,5,0
23,2,Alcalá la Real,17.355,11.409,435,151
23,3,Alcaudete,8.599,5.481,96,45
23,4,Aldeaquemada,420,298,4,3
23,5,Andújar,29.960,17.649,402,280
23,6,Arjona,4.596,3.347,96,43
23,7,Arjonilla,3.028,2.015,26,25
23,8,Arquillos,1.449,931,32,13
23,905,Arroyo del Ojanco,1.824,1.091,10,5
23,9,Baeza,12.857,8.623,186,99
23,10,Bailén,14.238,8.216,209,131
23,11,Baños de la Encina,2.141,1.291,48,17
23,12,Beas de Segura,4.052,2.409,36,28
23,902,Bedmar y Garcíez,2.228,1.681,39,12
23,14,Begíjar,2.567,1.708,32,18
23,15,Bélmez de la Moraleda,1.328,875,16,9
23,16,Benatae,386,279,14,0
23,17,Cabra del Santo Cristo,1.484,1.081,29,7
23,18,Cambil,2.254,1.376,20,20
23,19,Campillo de Arenas,1.473,1.066,45,5
