,Codcir,Codmun,Municipio,Censo Total,Votos Totales,Votos Nulos,Votos Blancos
376,18,16,Almegíjar,288,173,4,2
377,18,17,Almuñécar,18.120,9.785,162,105
378,18,904,Alpujarra de la Sierra,729,489,8,3
379,18,18,Alquife,557,369,7,0
380,18,20,Arenas del Rey,982,591,24,5
381,18,21,Armilla,17.698,10.366,431,178
382,18,22,Atarfe,13.758,7.525,346,125
383,18,23,Baza,15.642,9.546,212,115
384,18,24,Beas de Granada,838,561,25,13
385,18,25,Beas de Guadix,282,175,2,0
386,18,27,Benalúa,2.598,1.505,27,22
387,18,28,Benalúa de las Villas,911,664,9,3
388,18,29,Benamaurel,1.810,952,22,8
389,18,30,Bérchules,567,367,4,10
390,18,32,Bubión,242,149,2,0
391,18,33,Busquístar,275,180,3,1
392,18,34,Cacín,475,321,9,2
393,18,35,Cádiar,1.180,827,20,7
394,18,36,Cájar,3.904,2.578,89,36
395,18,37,Calicasas,520,356,12,4
396,18,38,Campotéjar,1.035,686,54,9
397,18,39,Caniles,3.382,2.020,50,30
398,18,40,Cáñar,217,119,1,1
399,18,42,Capileira,420,308,14,11
400,18,43,Carataunas,119,64,3,1
401,18,44,Cástaras,163,90,1,2
402,18,45,Castilléjar,1.070,605,17,7
403,18,46,Castril,1.744,855,20,4
404,18,47,Cenes de la Vega,6.034,3.336,133,58
405,18,59,Chauchina,4.252,2.560,125,42
406,18,61,Chimeneas,1.008,665,17,7
407,18,62,Churriana de la Vega,10.952,6.722,303,76
408,18,48,Cijuela,2.440,1.511,71,27
409,18,49,Cogollos de Guadix,570,407,6,2
410,18,50,Cogollos de la Vega,1.668,985,46,16
411,18,51,Colomera,1.108,627,13,6
412,18,53,Cortes de Baza,1.568,844,6,10
413,18,54,Cortes y Graena,827,538,6,6
414,18,912,Cuevas del Campo,1.388,799,13,3
415,18,56,Cúllar,3.438,2.130,85,23
416,18,57,Cúllar Vega,5.476,3.433,124,66
417,18,63,Darro,1.203,532,3,2
418,18,64,Dehesas de Guadix,365,264,5,3
419,18,65,Dehesas Viejas,593,429,23,1
420,18,66,Deifontes,2.095,1.250,40,13
421,18,67,Diezma,664,415,8,3
422,18,68,Dílar,1.597,1.039,40,15
423,18,69,Dólar,497,302,9,1
424,18,915,Domingo Pérez de Granada,730,444,10,9
425,18,70,Dúdar,275,187,5,2
426,18,71,Dúrcal,5.559,3.549,223,43
427,18,910,El Pinar,738,380,8,7
428,18,902,El Valle,766,562,27,7
429,18,72,Escúzar,662,394,18,2
430,18,74,Ferreira,264,184,8,2
431,18,76,Fonelas,788,460,2,0
432,18,78,Freila,705,457,7,0
433,18,79,Fuente Vaqueros,3.437,2.239,127,31
434,18,82,Galera,831,467,9,8
435,18,83,Gobernador,222,165,2,1
436,18,84,Gójar,4.421,2.768,95,46
437,18,85,Gor,694,386,3,1
438,18,86,Gorafe,340,234,6,0
439,18,87,Granada,182.375,116.987,3.278,1.512
440,18,88,Guadahortuna,1.507,899,14,13
441,18,89,Guadix,14.568,8.661,196,94
442,18,93,Gualchos,2.736,1.519,23,12
443,18,94,Güéjar Sierra,2.283,1.568,69,23
444,18,95,Güevéjar,2.009,1.207,63,17
445,18,96,Huélago,335,187,1,0
446,18,97,Huéneja,941,563,7,6
447,18,98,Huéscar,5.966,3.432,60,41
448,18,99,Huétor de Santillán,1.577,1.073,61,16
449,18,100,Huétor Tájar,7.947,4.829,175,70
450,18,101,Huétor Vega,9.372,5.812,232,101
451,18,102,Íllora,8.263,4.677,214,61
452,18,103,Ítrabo,721,467,5,2
453,18,105,Iznalloz,3.806,2.022,102,18
454,18,106,Játar,414,238,11,4
455,18,107,Jayena,932,589,21,4
456,18,108,Jerez del Marquesado,829,558,16,9
457,18,109,Jete,600,339,4,3
458,18,111,Jun,2.845,1.656,61,29
459,18,112,Juviles,107,62,6,0
460,18,114,La Calahorra,584,381,3,1
461,18,126,La Malahá,1.455,919,44,25
462,18,154,La Peza,978,561,1,2
463,18,901,La Taha,491,272,7,3
464,18,193,La Zubia,14.670,8.839,330,145
465,18,115,Láchar,2.615,1.583,26,30
466,18,116,Lanjarón,2.834,1.911,73,23
467,18,117,Lanteira,500,317,19,2
468,18,905,Las Gabias,15.427,8.907,406,179
469,18,119,Lecrín,1.690,1.129,45,21
470,18,120,Lentegí,258,184,3,4
471,18,121,Lobras,130,85,4,2
472,18,122,Loja,15.959,9.896,300,134
473,18,906,Los Guájares,889,605,8,5
474,18,123,Lugros,287,184,3,3
475,18,124,Lújar,360,208,7,0
476,18,127,Maracena,16.712,10.089,428,168
477,18,128,Marchal,334,222,7,2
478,18,132,Moclín,3.142,2.127,59,20
479,18,133,Molvízar,2.118,1.423,25,17
480,18,134,Monachil,6.039,3.380,114,62
481,18,135,Montefrío,4.420,2.455,127,23
482,18,136,Montejícar,1.795,1.180,59,7
483,18,137,Montillana,945,593,16,4
484,18,138,Moraleda de Zafayona,2.472,1.279,37,11
485,18,909,Morelábor,535,371,5,1
486,18,140,Motril,43.981,23.830,542,332
487,18,141,Murtas,378,215,3,0
488,18,903,Nevada,867,501,12,3
489,18,143,Nigüelas,954,600,35,3
490,18,144,Nívar,793,499,24,6
491,18,145,Ogíjares,10.806,6.789,255,101
492,18,146,Orce,941,584,20,5
493,18,147,Órgiva,3.664,2.024,68,31
494,18,148,Otívar,804,558,8,8
495,18,150,Padul,6.816,4.154,169,70
496,18,151,Pampaneira,249,148,5,0
497,18,152,Pedro Martínez,911,619,10,2
498,18,153,Peligros,8.747,5.259,200,69
499,18,157,Pinos Genil,1.151,721,26,7
500,18,158,Pinos Puente,8.028,4.205,111,62
501,18,159,Píñar,990,683,14,4
502,18,161,Polícar,215,177,0,3
503,18,162,Polopos,929,606,7,6
504,18,163,Pórtugos,311,186,5,2
505,18,164,Puebla de Don Fadrique,1.814,1.009,23,9
506,18,165,Pulianas,4.199,2.435,91,43
507,18,167,Purullena,1.850,1.074,29,17
508,18,168,Quéntar,775,490,16,8
509,18,170,Rubite,320,182,2,2
510,18,171,Salar,2.096,1.420,52,14
511,18,173,Salobreña,8.932,5.052,164,79
512,18,174,Santa Cruz del Comercio,435,318,5,3
513,18,175,Santa Fe,11.729,7.261,272,97
514,18,176,Soportújar,234,146,0,2
515,18,177,Sorvilán,374,193,3,5
516,18,178,Torre-Cardela,677,447,7,5
517,18,179,Torvizcón,507,303,4,6
518,18,180,Trevélez,634,324,13,5
519,18,181,Turón,205,118,1,1
520,18,182,Ugíjar,1.917,1.120,18,6
521,18,914,Valderrubio,1.649,1.111,45,14
522,18,907,Valle del Zalabí,1.786,1.205,21,9
523,18,183,Válor,626,380,5,6
524,18,911,Vegas del Genil,7.821,4.629,210,83
525,18,184,Vélez de Benaudalla,2.156,1.378,38,17
526,18,185,Ventas de Huelma,523,365,4,5
527,18,149,Villa de Otura,5.380,3.526,131,40
528,18,908,Villamena,794,493,37,3
529,18,187,Villanueva de las Torres,512,329,4,1
530,18,188,Villanueva Mesía,1.650,1.101,36,16
531,18,189,Víznar,767,515,12,9
532,18,192,Zafarraya,1.456,1.012,15,4
533,18,913,Zagra,776,502,15,5
534,18,194,Zújar,2.061,1.127,22,21
535,18,990,Residentes Ausentes Granada,49.014,1.303,271,14
537,14,1,Adamuz,3.448,2.320,60,28
538,14,2,Aguilar de la Frontera,10.876,6.744,203,100
539,14,3,Alcaracejos,1.254,873,26,2
540,14,4,Almedinilla,1.993,1.271,23,13
541,14,5,Almodóvar del Río,6.323,3.307,93,66
542,14,6,Añora,1.314,1.026,35,6
543,14,7,Baena,15.033,9.042,277,120
544,14,8,Belalcázar,2.781,1.608,31,19
545,14,9,Belmez,2.661,1.428,23,22
546,14,10,Benamejí,4.016,2.481,59,27
547,14,12,Bujalance,6.109,3.602,119,47
548,14,13,Cabra,16.644,10.564,408,211
549,14,14,Cañete de las Torres,2.507,1.847,38,15
550,14,15,Carcabuey,2.066,1.327,35,10
551,14,16,Cardeña,1.286,815,9,4
552,14,19,Castro del Río,6.423,4.289,109,88
553,14,20,Conquista,354,194,2,2
554,14,21,Córdoba,258.826,157.964,2.503,2.842
555,14,22,Doña Mencía,3.925,2.554,52,26
556,14,23,Dos Torres,2.012,1.555,39,15
557,14,18,El Carpio,3.649,2.344,71,37
558,14,34,El Guijo,305,226,8,2
559,14,74,El Viso,2.239,1.584,49,11
560,14,24,Encinas Reales,1.861,1.318,64,8
561,14,25,Espejo,2.863,2.225,75,16
562,14,26,Espiel,2.027,1.153,29,20
563,14,27,Fernán-Núñez,7.861,5.043,172,115
564,14,28,Fuente la Lancha,295,217,1,3
565,14,29,Fuente Obejuna,4.055,2.525,64,38
566,14,30,Fuente Palmera,8.679,5.774,118,59
567,14,31,Fuente-Tójar,560,394,17,0
568,14,33,Guadalcázar,1.261,771,17,13
569,14,35,Hinojosa del Duque,5.866,3.614,64,57
570,14,36,Hornachuelos,3.696,2.418,84,63
571,14,37,Iznájar,3.217,2.028,79,32
572,14,17,La Carlota,10.941,6.841,165,79
573,14,32,La Granjuela,388,293,1,5
574,14,57,La Rambla,6.131,4.283,120,76
575,14,65,La Victoria,1.819,1.236,27,19
576,14,11,Los Blázquez,570,403,1,5
577,14,38,Lucena,32.630,19.443,433,259
578,14,39,Luque,2.595,1.752,53,13
579,14,40,Montalbán de Córdoba,3.739,2.539,63,46
580,14,41,Montemayor,3.133,2.050,114,42
581,14,42,Montilla,18.769,12.586,323,249
582,14,43,Montoro,7.438,4.510,126,107
583,14,44,Monturque,1.621,1.056,29,11
584,14,45,Moriles,3.007,2.178,51,23
585,14,46,Nueva Carteya,4.434,2.879,131,37
586,14,47,Obejo,1.643,984,23,12
587,14,48,Palenciana,1.177,783,34,6
588,14,49,Palma del Río,16.321,10.328,312,192
589,14,50,Pedro Abad,2.350,1.589,39,19
